day,x,y,z
314,-1.2521869077052763E24,6.762631249022728E24,-1.5171004456416146E20
315,-1.2561747640992418E24,6.784168291217068E24,-1.521931975723276E20
316,-1.2601626204932073E24,6.805705333411408E24,-1.5267635058049375E20
317,-1.2641504768871728E24,6.827242375605748E24,-1.531595035886599E20
318,-1.2681383332811383E24,6.848779417800088E24,-1.5364265659682603E20
319,-1.2721261896751038E24,6.870316459994428E24,-1.5412580960499217E20
320,-1.2761140460690693E24,6.891853502188768E24,-1.546089626131583E20
321,-1.2801019024630348E24,6.913390544383108E24,-1.5509211562132446E20
322,-1.2840897588570003E24,6.934927586577448E24,-1.555752686294906E20
323,-1.2880776152509658E24,6.956464628771788E24,-1.5605842163765674E20
324,-1.2920654716449313E24,6.978001670966129E24,-1.5654157464582288E20
325,-1.2960533280388968E24,6.999538713160469E24,-1.5702472765398902E20
326,-1.3000411844328623E24,7.021075755354809E24,-1.5750788066215517E20
327,-1.3040290408268278E24,7.042612797549149E24,-1.579910336703213E20
328,-1.3080168972207933E24,7.064149839743489E24,-1.5847418667848745E20
329,-1.3120047536147588E24,7.085686881937829E24,-1.589573396866536E20
330,-1.3159926100087243E24,7.107223924132169E24,-1.5944049269481973E20
331,-1.3199804664026899E24,7.128760966326509E24,-1.5992364570298588E20
332,-1.3239683227966554E24,7.150298008520849E24,-1.6040679871115202E20
333,-1.3279561791906209E24,7.171835050715189E24,-1.6088995171931816E20
334,-1.3319440355845864E24,7.193372092909529E24,-1.613731047274843E20
335,-1.3359318919785519E24,7.214909135103869E24,-1.6185625773565044E20
336,-1.3399197483725174E24,7.23644617729821E24,-1.623394107438166E20
337,-1.343907604766483E24,7.25798321949255E24,-1.6282256375198273E20
338,-1.3478954611604484E24,7.27952026168689E24,-1.6330571676014887E20
339,-1.351883317554414E24,7.30105730388123E24,-1.63788869768315E20
340,-1.3558711739483794E24,7.32259434607557E24,-1.6427202277648115E20
341,-1.359859030342345E24,7.34413138826991E24,-1.647551757846473E20
342,-1.3638468867363104E24,7.36566843046425E24,-1.6523832879281344E20
343,-1.367834743130276E24,7.38720547265859E24,-1.6572148180097958E20
344,-1.3718225995242414E24,7.40874251485293E24,-1.6620463480914572E20
345,-1.375810455918207E24,7.43027955704727E24,-1.6668778781731186E20
346,-1.3797983123121724E24,7.45181659924161E24,-1.67170940825478E20
347,-1.383786168706138E24,7.47335364143595E24,-1.6765409383364415E20
348,-1.3877740251001034E24,7.49489068363029E24,-1.681372468418103E20
349,-1.391761881494069E24,7.516427725824631E24,-1.6862039984997643E20
350,-1.3957497378880344E24,7.537964768018971E24,-1.6910355285814257E20
351,-1.399737594282E24,7.559501810213311E24,-1.695867058663087E20
352,-1.4037254506759654E24,7.581038852407651E24,-1.7006985887447486E20
353,-1.407713307069931E24,7.602575894601991E24,-1.70553011882641E20
354,-1.4117011634638964E24,7.624112936796331E24,-1.7103616489080714E20
355,-1.415689019857862E24,7.645649978990671E24,-1.7151931789897328E20
356,-1.4196768762518274E24,7.667187021185011E24,-1.7200247090713942E20
357,-1.423664732645793E24,7.688724063379351E24,-1.7248562391530557E20
358,-1.4276525890397584E24,7.710261105573691E24,-1.729687769234717E20
359,-1.431640445433724E24,7.731798147768031E24,-1.7345192993163785E20
360,-1.4356283018276894E24,7.753335189962371E24,-1.73935082939804E20
361,-1.439616158221655E24,7.774872232156712E24,-1.7441823594797013E20
362,-1.4436040146156204E24,7.796409274351052E24,-1.7490138895613628E20
363,-1.447591871009586E24,7.817946316545392E24,-1.7538454196430242E20
364,-1.4515797274035514E24,7.839483358739732E24,-1.7586769497246856E20
365,-1.455567583797517E24,7.861020400934072E24,-1.763508479806347E20
366,-1.4565645478960084E24,7.866404661482657E24,-1.7647163623267625E20
